まぐろ
特製漬けまぐろ
とろびんちょう
とろびんちょう山わさび
びんちょうまぐろアボカド
とろびんちょうレアステーキ
まぐろたたき
まぐろ二種盛り(まぐろ・びんちょう)
まぐろ二種盛り(まぐろ・まぐろたたき)
大とろサーモン
大とろサーモン山わさび
サーモン
オニオンサーモン
焼とろサーモン
炙りとろサーモン
炙りとろサーモンチーズ
しめさば
炙りしめさば
えび
生えび
甘えび
えびレアステーキ
炙りえびマヨ
炙りえびチーズ
えび天
真だこ
真いか
大葉漬け真いか
やりいか
ゆず塩やりいか
いか天
いか天ガーリックマヨ
旨だしたまご
炙りたまごチーズ
わさびなす
煮あなご
ゆず塩煮あなご
れんこん天
生ハム
生ハムオニオン
合鴨
合鴨オニオン
炙り合鴨
豚塩カルビ
豚塩カルビマヨ
ハンバーグ
チーズハンバーグ
まぐろたたき軍艦
ピリ辛まぐろたたきユッケ
まぐろたたき納豆
たっぷりかにみそ
大葉かにみそ
たらマヨ
大葉たらこ
生しらす
コーン
ツナ＆コーン
ツナサラダ
シーフードサラダ
いかオクラ
いかオクラ納豆
納豆
山かけいかオクラ
山かけたらこ
山かけ納豆
山かけまぐろ
わさびえんがわ
かっぱ巻
納豆巻
まぐろたたき巻
さばの押し寿司
いなり(ごま入り)
あおさのみそ汁
旨だし厚焼きたまご
枝豆
