にぎりデータ
サーモン
オニオンサーモン
焼きとろサーモン
おろし焼とろサーモン
ジャンボとろサーモン
サーモンちーず
炙りサーモンバジルチーズ
かつお
活〆はまち
活〆匠の漬けはまち
〆真さば
〆真さば(ごまネギ)
塩〆いわし(ネギ・生姜)
塩〆いわし
赤えび
生えび
えびチーズ
えびバジルチーズ
えびアボカド
タルタルえびアボカド
えび天にぎり
上えび天にぎり
白とり貝
蒸しほたてバジルレモン
いか
煮あなご
たまご
生ハム
生ハムアボカド
まぐろ・サーモン
まぐろ・たまご
まぐろ・えび
まぐろ・いか
えび・サーモン
えび・いか
えび・たまご
サーモン・たまご
サーモン・焼とろサーモン
サーモン・いか
えびチーズ・サーモンチーズ
軍艦ねぎまぐろ
まぐろ山かけ
まぐろユッケ(卵黄醤油)
サーモンとろたく
かにみそ
軍艦甘えび
とびこ軍艦
ししゃも軍艦(カラフトししゃも使用)
たらマヨ
たらこ
数の子松前漬け
コーン
ツナサラダ
シーサラダ
カニ風サラダ
パンチェッタブロッコリー軍艦
とりからタルタル
いかオクラめかぶ
小粒納豆
キュウリ巻
小粒納豆巻(ねぎ抜き)
梅きゅう巻
海老フライヤアボカドロール
カニ風サラダ・シーサラダ
カニ風サラダ・ツナサラダ
カニ風サラダ・コーン
シーサラダ・ツナサラダ
シーサラダ・コーン
ツナサラダ・コーン
