握り
まぐろ
特製漬けまぐろ
とろびんちょう
とろびんちょう山わさび
びんちょうまぐろアボカド
とろびんちょうレアステーキ
まぐろたたき
まぐろ二種盛り(まぐろ・びんちょう)
まぐろ二種盛り(まぐろ・まぐろたたき)
大とろサーモン
大とろサーモン山わさび
サーモン
オニオンサーモン
サーモンアボカド
焼とろサーモン
焼とろサーモンレアステーキ
炙りとろサーモン
炙りとろサーモンチーズ
活〆はまち
ほたて
炙り塩ほたて
ホタテレアステーキ
えんがわ
炙りえんがわ
とろいわし
炙りとろいわし
とろいわし漁師漬け
しめさば
炙りしめさば
真あじ
真あじ漁師漬け
つぶ貝
えび
生えび
甘えび
えびアボカド
えびレアステーキ
炙りえびマヨ
炙りえびチーズ
えび天
真だこ
真いか
大葉漬け真いか
真いかレアステーキ
やりいか
ゆず塩やりいか
いか天
いか天ガーリックマヨ
旨だしたまご
炙りたまごチーズ
わさびなす
煮あなご
ゆず塩煮あなご
れんこん天
オクラ天
